Entity,Code,Year,Coal Consumption - TWh,Oil Consumption - TWh,Gas Consumption - TWh
Africa,,1965,323.4961383333333,327.33316444444444,9.543754166666666
Africa,,1966,323.12219333333337,358.1326738888889,10.669916111111112
Africa,,1967,330.2915847222222,355.28145861111113,10.545669722222224
Africa,,1968,343.5129108333333,374.8521305555555,10.688969722222222
Africa,,1969,346.64292166666667,379.9730861111111,12.491999722222223
Africa,,1970,360.75689944444446,419.8099002777777,15.520325
Africa,,1971,383.0123186111111,474.4581836111111,18.40526361111111
Africa,,1972,384.2108033333333,514.2536772222222,24.670656944444445
Africa,,1973,408.9103533333333,553.1083622222222,39.55179138888889
Africa,,1974,425.6462261111111,572.2501369444445,44.5184875
Africa,,1975,451.0805036111111,598.7911399999999,53.6383775
Africa,,1976,481.0741561111111,664.2742522222222,60.98139
Africa,,1977,491.698455,703.373181388889,68.23419083333333
Africa,,1978,477.81558277777776,740.625191111111,97.36989777777777
Africa,,1979,507.2469963888889,789.8455275,148.84281583333333
Africa,,1980,543.5570594444445,835.2707033333334,186.9139772222222
Africa,,1981,635.7987833333334,887.8791961111111,228.4911561111111
Africa,,1982,701.1758825000001,932.2492286111112,246.7335486111111
Africa,,1983,713.2460472222223,963.1884741666668,271.27534694444444
Africa,,1984,762.8978716666667,985.0113427777776,259.9027805555556
Africa,,1985,787.1658894444444,1007.608725,278.84274694444446
Africa,,1986,805.3560963888889,992.4227591666668,313.2712025
Africa,,1987,828.3197322222222,1047.2105469444443,323.38435722222226
Africa,,1988,890.1608047222222,1090.4672349999998,358.44454055555553
Africa,,1989,835.6208619444444,1130.0311427777776,371.4710411111111
Africa,,1990,877.8098613888889,1145.123741111111,398.6453844444444
Africa,,1991,853.1945686111111,1148.6610069444444,401.6355930555556
Africa,,1992,858.3007480555555,1171.7377780555555,421.2702575
Africa,,1993,871.6152063888889,1181.508105,412.6439775
Africa,,1994,894.1687308333334,1221.5419658333333,431.8279522222222
Africa,,1995,921.80284,1264.9708244444444,461.24349777777775
Africa,,1996,934.5518386111112,1296.4831547222225,484.19174805555554
Africa,,1997,958.3213991666668,1331.6567583333333,474.4755361111111
Africa,,1998,936.3072786111112,1363.7691558333331,499.3369944444444
Africa,,1999,965.48062,1414.1560838888888,504.0196075
Africa,,2000,963.273915,1421.5153769444444,556.8223563888889
Africa,,2001,975.5876619444444,1434.9808241666667,634.6361538888889
Africa,,2002,934.1009275,1467.215869722222,670.605376111111
Africa,,2003,1016.712642222222,1507.7376547222225,711.5067125
Africa,,2004,1118.2899991666666,1557.3242830555555,783.0682180555556
Africa,,2005,1038.0312477777777,1650.4034141666666,807.7815880555556
Africa,,2006,1052.7660088888888,1658.4732472222222,843.9347886111111
Africa,,2007,1070.1837125,1717.3990269444444,900.5199158333334
Africa,,2008,1179.483909722222,1805.798055,935.6593227777778
Africa,,2009,1174.4275441666666,1876.0583280555556,941.3703819444444
Africa,,2010,1162.9921355555557,1966.0737875,981.2584944444444
Africa,,2011,1145.844919722222,1911.735672222222,1061.085588611111
Africa,,2012,1117.771956111111,2017.0145522222224,1147.1777358333331
Africa,,2013,1129.611669722222,2090.719525,1170.2537786111109
Africa,,2014,1183.1220594444444,2123.7742491666663,1241.3191608333332
Africa,,2015,1117.560296388889,2197.0032358333333,1324.946863333333
Africa,,2016,1187.789695833333,2214.010135833333,1370.919078611111
Africa,,2017,1187.481281111111,2229.898823055555,1449.80345
Africa,,2018,1167.454926111111,2271.5887197222223,1540.247786111111
Africa,,2019,1199.2301322222222,2299.14435,1553.3842177777776
Africa,,2020,1141.118618888889,1996.2920572222224,1529.68159
Algeria,DZA,1965,0.8141,15.405251944444444,7.4305
Algeria,DZA,1966,0.79084,20.272705277777774,7.71925
Algeria,DZA,1967,0.60476,18.942031111111117,7.48825
Algeria,DZA,1968,0.63965,20.167301388888887,7.87325
Algeria,DZA,1969,0.8141,21.30593,10.3516875
Algeria,DZA,1970,0.96529,24.34768083333333,9.730875
Algeria,DZA,1971,0.26749,27.44005027777777,11.0495
Algeria,DZA,1972,0.2326,30.121414166666664,12.830125
Algeria,DZA,1973,0.26749,32.900345,17.8591875
Algeria,DZA,1974,0.2209699999999999,36.54384083333333,20.6745
Algeria,DZA,1975,0.27912,40.6306675,28.49
Algeria,DZA,1976,0.5466099999999999,46.7177325,33.6875
Algeria,DZA,1977,0.70943,52.80649361111111,35.901250000000005
Algeria,DZA,1978,0.3605299999999999,54.60794472222222,57.65375
Algeria,DZA,1979,0.83736,65.31861722222223,81.52375
Algeria,DZA,1980,0.74432,66.20243,109.43625
Algeria,DZA,1981,0.52335,71.32307277777777,142.2575
Algeria,DZA,1982,9.71105,75.57341777777776,161.41125
Algeria,DZA,1983,8.664349999999999,84.8924211111111,176.715
Algeria,DZA,1984,9.60638,94.00200638888889,155.25125
Algeria,DZA,1985,10.02506,96.55380305555556,153.80749999999998
Algeria,DZA,1986,10.29255,98.02125416666668,168.4375
Algeria,DZA,1987,12.30454,99.10052388888889,172.2875
Algeria,DZA,1988,11.57185,99.1725986111111,194.13625
Algeria,DZA,1989,9.78083,103.9366611111111,182.6825
Algeria,DZA,1990,7.66417,111.81161583333332,195.09875
Algeria,DZA,1991,7.9084,110.6277861111111,192.6925
Algeria,DZA,1992,9.39704,111.29265555555556,198.94875
Algeria,DZA,1993,7.65254,110.75487666666666,178.54375
Algeria,DZA,1994,7.2106,106.05089583333331,188.16875
Algeria,DZA,1995,7.2106,103.14228277777778,202.22125
Algeria,DZA,1996,3.39596,98.42207972222222,207.7075
Algeria,DZA,1997,5.95456,97.64341944444443,194.04
Algeria,DZA,1998,6.37324,100.65874805555556,200.68125
Algeria,DZA,1999,6.82681,98.89834583333334,205.10875
Algeria,DZA,2000,5.64055,103.1324797222222,191.0129375
Algeria,DZA,2001,6.5128,106.77533388888888,197.322125
Algeria,DZA,2002,8.54805,118.39722972222222,194.838875
Algeria,DZA,2003,7.04778,123.17411805555555,205.9316875
Algeria,DZA,2004,8.40849,128.74683027777778,211.8991875
Algeria,DZA,2005,6.90822,134.213385,223.559875
Algeria,DZA,2006,10.25766,139.84572083333333,228.4975
Algeria,DZA,2007,8.80391,156.38999638888887,233.80681444444443
Algeria,DZA,2008,8.80391,169.91589638888888,244.041875
Algeria,DZA,2009,5.65218,180.13442944444444,262.117625
Algeria,DZA,2010,3.6053,181.6119161111111,253.27225
Algeria,DZA,2011,3.19825,192.22765305555555,267.969625
Algeria,DZA,2012,3.39596,204.39526777777775,298.74075
Algeria,DZA,2013,1.83754,213.576385,321.215125
Algeria,DZA,2014,2.08177,221.92515277777775,360.91825
Algeria,DZA,2015,1.54679,236.14848333333333,379.225
Algeria,DZA,2016,0.56987,229.5638513888889,385.9625
Algeria,DZA,2017,2.11666,225.51211583333333,394.625
Algeria,DZA,2018,5.815,229.33779805555557,434.0875
Algeria,DZA,2019,4.80319,237.00309555555555,451.4125
Algeria,DZA,2020,4.80319,201.25485111111112,430.815
Argentina,ARG,1965,8.455049166666667,275.24028166666665,41.234
Argentina,ARG,1966,6.971818333333333,283.8862780555555,44.6572
Argentina,ARG,1967,7.840396944444445,290.7273016666666,46.69945
Argentina,ARG,1968,7.619035277777778,296.77116166666667,51.999575
Argentina,ARG,1969,9.12217,307.97903444444444,51.805075
Argentina,ARG,1970,11.722598333333334,278.4058394444444,58.5445
Argentina,ARG,1971,10.277541944444444,296.48773416666666,63.202775
Argentina,ARG,1972,8.651295,295.1728380555556,70.924425
Argentina,ARG,1973,9.496521944444444,297.23879916666664,80.707775
Argentina,ARG,1974,11.825921944444444,297.09722666666664,85.42439999999999
Argentina,ARG,1975,11.510940277777776,281.26943027777776,87.52499999999999
Argentina,ARG,1976,11.642585277777776,290.1952763888889,98.51425
Argentina,ARG,1977,11.008503055555556,305.6309725,102.8905
Argentina,ARG,1978,13.419195277777778,297.26914694444446,100.07025
Argentina,ARG,1979,12.501673888888888,319.8497486111111,102.8905
Argentina,ARG,1980,11.14458972222222,296.9779736111111,112.12925
Argentina,ARG,1981,10.560467222222222,278.5659058333333,117.18625
Argentina,ARG,1982,10.66607611111111,265.0183488888889,133.13525
Argentina,ARG,1983,9.679963333333331,268.7532136111111,143.152
Argentina,ARG,1984,7.185223611111111,255.6005861111111,152.39075
Argentina,ARG,1985,10.599605833333332,237.5202363888889,155.69725
Argentina,ARG,1986,12.109349444444444,249.71896305555555,168.2425
Argentina,ARG,1987,13.439672777777778,266.5530766666667,168.33975
Argentina,ARG,1988,13.772349722222222,268.3337413888889,196.6395
Argentina,ARG,1989,14.902768055555557,246.3207436111111,206.559
Argentina,ARG,1990,12.266132222222222,229.9596961111111,197.32025
Argentina,ARG,1991,10.7940125,240.25671166666663,200.9185
Argentina,ARG,1992,12.16816361111111,252.69298166666667,217.2565
Argentina,ARG,1993,8.069987222222222,247.75331083333333,229.41275
Argentina,ARG,1994,7.0651069444444445,261.4820683333333,235.83125
Argentina,ARG,1995,7.414152499999999,259.5302825,262.47775
Argentina,ARG,1996,7.766816111111111,259.7977241666667,301.18325
Argentina,ARG,1997,6.127713888888889,275.2863658333333,277.5515
Argentina,ARG,1998,8.237409444444443,283.2721097222222,296.70975
Argentina,ARG,1999,9.885469444444444,286.95976055555553,314.701
Argentina,ARG,2000,7.512647222222222,264.89783944444446,322.96725
Argentina,ARG,2001,6.156852222222222,245.2950138888889,302.35025
Argentina,ARG,2002,4.586296388888889,232.81517444444447,294.37575
Argentina,ARG,2003,5.593864722222222,237.4220572222222,336.2905
Argentina,ARG,2004,9.519819444444444,254.6864461111111,368.09125
Argentina,ARG,2005,10.961645,266.7581122222222,392.89
Argentina,ARG,2006,9.923820555555556,281.3517575,406.505
Argentina,ARG,2007,14.36036111111111,313.74554277777776,427.122
Argentina,ARG,2008,17.51606861111111,317.0516533333333,431.88725
Argentina,ARG,2009,9.620938055555555,303.05770527777776,418.3555827777778
Argentina,ARG,2010,13.47208,328.1579833333333,420.8741655555555
Argentina,ARG,2011,14.618645277777777,340.0057697222222,438.3978869444444
Argentina,ARG,2012,13.669180555555554,361.2563983333333,456.6420933333333
Argentina,ARG,2013,14.939302777777778,383.7835186111111,460.2768897222222
Argentina,ARG,2014,15.891716666666666,379.91561777777775,461.5497905555556
Argentina,ARG,2015,15.814129166666666,387.3086522222222,466.5256827777777
Argentina,ARG,2016,12.188641388888888,375.29423333333335,482.1001119444445
Argentina,ARG,2017,12.525288055555556,370.8971902777778,483.00028555555554
Argentina,ARG,2018,13.709147777777778,353.2107044444444,487.0423969444445
Argentina,ARG,2019,8.1239625,318.8111663888889,465.5947283333333
Argentina,ARG,2020,8.860226111111112,287.4443577777778,439.29859583333337
Asia Pacific,,1965,2780.731447222222,1920.1872613888888,56.231967777777776
Asia Pacific,,1966,2931.512194444444,2190.4419666666668,62.38925305555556
Asia Pacific,,1967,2854.298672222222,2552.274572222222,71.39151194444445
Asia Pacific,,1968,2896.733147222222,2918.12605,77.81803055555557
Asia Pacific,,1969,3250.1878555555554,3389.4172055555555,102.60042444444444
Asia Pacific,,1970,3631.138588888889,3940.350597222222,142.32472527777776
Asia Pacific,,1971,3886.852383333333,4381.1474194444445,169.55090916666666
Asia Pacific,,1972,4036.5912416666665,4717.656913888889,196.4152638888889
Asia Pacific,,1973,4134.176399999999,5366.534088888889,242.4114608333333
Asia Pacific,,1974,4234.736277777778,5331.726044444445,302.3359213888889
Asia Pacific,,1975,4557.451227777778,5306.770397222222,351.24374666666665
Asia Pacific,,1976,4665.680858333334,5643.635994444445,406.0529113888888
Asia Pacific,,1977,4975.578105555556,5932.813136111111,499.8471169444444
Asia Pacific,,1978,5219.29566111111,6301.567852777778,599.6766680555555
Asia Pacific,,1979,5472.163027777778,6463.623305555555,685.4793230555556
Asia Pacific,,1980,5784.005813888889,6127.366588888889,735.7758755555556
Asia Pacific,,1981,5975.036080555556,5959.108447222222,743.9332625
Asia Pacific,,1982,6185.451722222222,5798.668977777777,773.78874
Asia Pacific,,1983,6548.070175,5855.894347222223,854.4700425
Asia Pacific,,1984,7115.320049999999,6066.531416666667,999.6436919444444
Asia Pacific,,1985,7676.9157444444445,6021.54825,1086.3900308333334
